code,libelle
BOI-W,EST - Tunnel de Boissy (sens W)
BOI-Y,EST - Tunnel de Boissy (sens Y)
CHA-W,EST - Tunnel de Champigny (sens W)
CHA-Y,EST - Tunnel de Champigny (sens Y)
GMO&MOU-I,EST - Tunnels Moulin et Guy Môquet (tube I)
GMO&MOU-E,EST - Tunnels Moulin et Guy Môquet (tube E)
NOG-I,EST - Tunnel de Nogent (sens I)
NOG-I,EST - Tunnel de Nogent (sens E)
BLN&CRN-I,"NORD - Tunnels de Bobigny, Lumen-Norton et La Courneuve (tube I)"
BLN&CRN-E,"NORD - Tunnels de Bobigny, Lumen-Norton et La Courneuve (tube E)"
LAN-W,NORD - Tunnel de Landy (sens W)
LAN-Y,NORD - Tunnel de Landy (sens Y)
TAV,NORD - Tunnel de Taverny (deux sens)
BAP&SCL-W,OUEST - Tunnels Ambroise Paré et Saint-Cloud (sens W)
BAP&SCL-Y,OUEST - Tunnels Ambroise Paré et Saint-Cloud (sens Y)
CHE,OUEST - Tunnel de Chennevières (deux sens)
FLF-W,OUEST - Tunnel de Fontenay (sens W)
FLF-Y,OUEST - Tunnel de Fontenay (sens Y)
NAN-I,OUEST - Tunnel de Nanterre (tube I)
NAN-E,OUEST - Tunnel de Nanterre (tube E)
RUE-I,OUEST - Tunnel de Belle-Rive (tube I)
RUE-E,OUEST - Tunnel de Belle-Rive (tube E)
A14&NEU-W,OUEST - Tunnels A14 et Neuilly (sens W)
A14&NEU-Y,OUEST - Tunnel A14 et Neuilly (sens Y)
SEV,OUEST - Tunnel de Sévines (deux sens)
BIC&ITA-W,SUD - Tunnels Bicêtre et Italie (sens W)
BIC&ITA-W,SUD - Tunnels Bicêtre et Italie (sens Y)
FRE&ANT-I,SUD - Tunnels d'Antony et Fresnes (tube I)
FRE&ANT-E,SUD - Tunnels d'Antony et Fresnes (tube E)
ORL,SUD - Tunnel d'Orly (deux sens)
